"S","ID","Rank1","real","Rank2"
-8.274622,"BI-7190",0,"active",0
-6.8184018,"(S)-AU1",173,"active",
-6.5931129,"TP-238",689,"active",
-6.4146018,"BZ1",1698,"active",73
-6.3325424,"BZ2",2443,"active",97
-6.2744765,"BI-4827_NC",3080,"active",42
-6.2636104,"DC-BPi-11",3231,"active",638
-6.2393703,"NVS-BPTF-1",3512,"active",
-6.0177183,"BZ1_NC",6854,"active",
-5.532773,"GSK4027",13120,"active",216
-7.4381189,"PV-002995251183",1,"not active",
-7.3623343,"PV-004433966874",2,"not active",
-7.3477712,"PV-006189975081",3,"not active",
-7.3333702,"PV-009687817378",4,"not active",
-7.3017178,"PV-005758353477",5,"not active",
-7.2895904,"PV-008201324883",6,"not active",
-7.2692404,"PV-004391098420",7,"not active",
-7.2511578,"PV-009203480252",8,"not active",
-7.2300162,"PV-008908156384",9,"not active",1
-7.2203493,"PV-009617031857",10,"not active",
-7.1705842,"PV-009755543972",11,"not active",
-7.1479712,"PV-006158385607",12,"not active",
-7.1154108,"PV-004262595727",13,"not active",
-7.1046934,"PV-007227818297",14,"not active",
-7.1026649,"PV-001369568845",15,"not active",
-7.1009684,"PV-010020975227",16,"not active",
-7.100687,"PV-004985688690",17,"not active",
-7.0993729,"PV-009130664686",18,"not active",
-7.0952215,"PV-007655745882",19,"not active",
-7.0949602,"PV-007658715448",20,"not active",
-7.0948725,"PV-004362958080",21,"not active",379
-7.0884471,"PV-007539928631",22,"not active",59
-7.0828891,"PV-006204940466",23,"not active",
-7.0795474,"PV-006644352462",24,"not active",
-7.0525622,"PV-008616262296",25,"not active",
-7.0476475,"PV-007727782239",26,"not active",
-7.0374856,"PV-006850816348",28,"not active",
-7.0363789,"PV-009171054032",29,"not active",1167
-7.0287147,"PV-007557520090",30,"not active",1671
-7.0247965,"PV-004515840708",31,"not active",729
-7.0244985,"PV-005765553132",32,"not active",
-7.024055,"PV-006020911731",33,"not active",451
-7.0213141,"PV-009159835880",34,"not active",
-7.0149398,"PV-009951800910",35,"not active",
-7.0049672,"PV-002889355019",37,"not active",
-7.0018945,"PV-009157631635",38,"not active",
-7.0005174,"PV-007198089666",39,"not active",
-6.9982257,"PV-006049180317",40,"not active",
-6.9981809,"PV-007006041513",41,"not active",
-6.9958768,"PV-006663986321",42,"not active",
-6.995357,"PV-009702388892",43,"not active",1781
-6.9931073,"PV-008226431381",44,"not active",
-6.9914975,"PV-005942976840",45,"not active",1209
-6.989666,"PV-008705467085",46,"not active",
-6.9852104,"PV-008012919721",47,"not active",1617
-6.981554,"PV-008724422685",48,"not active",
-6.9805117,"PV-009016656035",49,"not active",10
-6.9801779,"PV-005361177459",50,"not active",
-6.9782424,"PV-006240690385",51,"not active",
-6.9719877,"PV-001678272469",52,"not active",
-6.9708529,"PV-006709704339",53,"not active",
-6.9703588,"PV-009866086403",54,"not active",51
-6.9696593,"PV-005766975133",55,"not active",
-6.9696226,"PV-004650967272",56,"not active",
-6.9674606,"PV-009705451927",57,"not active",
-6.9669843,"PV-009740162806",58,"not active",1243
-6.9665103,"PV-009769087134",59,"not active",
-6.9659901,"PV-009914268210",60,"not active",
-6.9656229,"PV-003791440623",61,"not active",28
-6.963594,"PV-010071646722",62,"not active",
-6.9615083,"PV-008641062668",63,"not active",
-6.9568124,"PV-005824193505",64,"not active",
-6.956038,"PV-007413591953",65,"not active",
-6.9540496,"PV-004756839889",66,"not active",
-6.9526086,"PV-006229519216",67,"not active",
-6.9513884,"PV-004016110832",68,"not active",
-6.9501767,"PV-009626458648",69,"not active",496
-6.9456077,"PV-009014005741",70,"not active",
-6.9432368,"PV-009795752548",71,"not active",
-6.9404731,"PV-004648537423",72,"not active",
-6.9359241,"PV-009470808667",74,"not active",105
-6.9336009,"PV-005612834651",75,"not active",
-6.9318957,"PV-007572285059",77,"not active",
-6.9240308,"PV-009408114520",79,"not active",1632
-6.9176693,"PV-009893601950",82,"not active",
-6.9139638,"PV-006032710474",84,"not active",463
-6.9128542,"PV-009479263708",85,"not active",
-6.9126863,"PV-003057077864",86,"not active",
-6.9099789,"PV-005337909160",87,"not active",
-6.9091702,"PV-000494243883",88,"not active",
-6.9091334,"PV-008816999806",89,"not active",
-6.9082808,"PV-007787725166",90,"not active",
-6.9053268,"PV-005845811424",91,"not active",
-6.9034595,"PV-004534690391",92,"not active",
-6.9027452,"PV-005394693673",93,"not active",
-6.9015341,"PV-006791471212",94,"not active",
-6.8980908,"PV-006640757043",95,"not active",
-6.8975806,"PV-009291665469",96,"not active",85
-6.8960791,"PV-005123799761",97,"not active",
-6.8950081,"PV-006615696998",98,"not active",8
-6.8899064,"PV-000336356573",99,"not active",
-6.889883,"PV-006670668912",100,"not active",
-6.8857741,"PV-004376743949",101,"not active",
-6.8838277,"PV-005860637511",103,"not active",
-6.8828692,"PV-005088879806",104,"not active",
-6.8818488,"PV-009183971556",105,"not active",
-6.8799586,"PV-008099999443",106,"not active",1361
-6.8798933,"PV-007513026227",107,"not active",
-6.8782158,"PV-006163905753",109,"not active",
-6.8770685,"PV-008959167019",110,"not active",437
-6.8765583,"PV-008898600139",111,"not active",
-6.8762255,"PV-000421014325",112,"not active",
-6.8755226,"PV-004615466609",113,"not active",
-6.8739748,"PV-008995527687",115,"not active",
-6.8726258,"PV-009207823201",116,"not active",
-6.8713608,"PV-004802854688",117,"not active",
-6.8700681,"PV-004207802100",118,"not active",1830
-6.8691545,"PV-008746643097",119,"not active",1390
-6.867085,"PV-006336946170",120,"not active",1705
-6.8664007,"PV-004952292560",121,"not active",
-6.8660269,"PV-005030833553",122,"not active",
-6.8651061,"PV-009426649562",123,"not active",
-6.8630157,"PV-005371062857",124,"not active",
-6.8586493,"PV-004952392524",126,"not active",
-6.8573856,"PV-000493793374",127,"not active",
-6.8563743,"PV-009897247099",129,"not active",2027
-6.8551874,"PV-005038193998",130,"not active",
-6.853189,"PV-009092195347",131,"not active",209
-6.8522282,"PV-006081836762",132,"not active",
-6.8501549,"PV-004214962703",133,"not active",2033
-6.8501053,"PV-009854725256",134,"not active",
-6.8486972,"PV-009896564454",135,"not active",
-6.8481135,"PV-004262621082",136,"not active",459
-6.8473306,"PV-009070407602",137,"not active",
-6.8472943,"PV-002984697120",138,"not active",
-6.8465738,"PV-009376616840",139,"not active",
-6.8443532,"PV-006217137657",140,"not active",
-6.8438807,"PV-009987275491",141,"not active",
-6.8435183,"PV-007584447466",142,"not active",
-6.8423524,"PV-004250965513",143,"not active",1038
-6.8420587,"PV-005574270052",144,"not active",
-6.8420005,"PV-006674787983",145,"not active",1820
-6.8396578,"PV-005386710792",146,"not active",
-6.8378105,"PV-000479517249",147,"not active",
-6.8377814,"PV-009758297603",148,"not active",
-6.8374205,"PV-009011705448",149,"not active",
-6.8363018,"PV-005801907069",151,"not active",
-6.8348165,"PV-000519604315",152,"not active",
-6.8339701,"PV-009826371644",153,"not active",236
-6.8336005,"PV-006814854046",154,"not active",
-6.8323631,"PV-009057077391",155,"not active",
-6.8322706,"PV-007213471261",156,"not active",
-6.8303566,"PV-000520714264",157,"not active",
-6.8274264,"PV-010001111741",158,"not active",
-6.8272734,"PV-007815576415",159,"not active",1980
-6.8270659,"PV-003039268692",160,"not active",
-6.8266921,"PV-007379649283",161,"not active",
-6.8256845,"PV-004518475593",162,"not active",
-6.8249884,"PV-006440496739",163,"not active",
-6.8230147,"PV-000549526486",164,"not active",
-6.822114,"PV-005180830621",166,"not active",
-6.8217645,"PV-005608674127",168,"not active",
-6.8199973,"PV-000509330806",169,"not active",
-6.8199887,"PV-006228968387",170,"not active",
-6.8190484,"PV-009491467744",171,"not active",
-6.8187585,"PV-005747570896",172,"not active",396
-6.8168774,"PV-009980069005",174,"not active",
-6.816854,"PV-007245530240",175,"not active",
-6.8151765,"PV-007483633821",176,"not active",1813
-6.814827,"PV-006410312304",177,"not active",
-6.8148112,"PV-008634818178",178,"not active",
-6.8145051,"PV-007229957188",179,"not active",
