"ID","S","Rank","real"
"BI-7190",-8.274622,0,"active"
"(S)-AU1",-6.8184018,173,"active"
"TP-238",-6.5931129,689,"active"
"BZ1",-6.4146018,1698,"active"
"BZ2",-6.3325424,2443,"active"
"BI-4827_NC",-6.2744765,3080,"Inactive"
"DC-BPi-11",-6.2636104,3231,"active"
"NVS-BPTF-1",-6.2393703,3512,"active"
"BZ1_NC",-6.0177183,6854,"active"
"GSK4027",-5.532773,13120,"active"
"Z1503006200",-7.0438576,27,"not active"
"Z6349770952",-7.0146551,36,"not active"
"Z444087118",-6.9392519,73,"not active"
"Z2437810182",-6.9332194,76,"not active"
"Z2960116039",-6.9289131,78,"not active"
"Z5246534257",-6.9220233,80,"not active"
"Z2189620145",-6.9207287,81,"not active"
"Z5432480243",-6.9172993,83,"not active"
"Z4025646376",-6.8855848,102,"not active"
"Z654659498",-6.8785362,108,"not active"
"Z3838196367",-6.8747029,114,"not active"
"Z1838305029",-6.8625932,125,"not active"
"Z7232826191",-6.8570466,128,"not active"
"Z5217606999",-6.8365388,150,"not active"
"Z2626957068",-6.8221946,165,"not active"
"Z5357418915",-6.8218231,167,"not active"
"Z5444139130",-6.7957573,202,"not active"
"Z2220209908",-6.7929044,208,"not active"
"Z1885767128",-6.7818718,215,"not active"
"Z5450952050",-6.7747908,226,"not active"
"Z6093292435",-6.7714844,232,"not active"
"Z3403621793",-6.7645383,242,"not active"
"Z5048520975",-6.7362313,293,"not active"
"Z1185688014",-6.7309542,299,"not active"
"Z3726869735",-6.7278094,309,"not active"
"Z2501042828",-6.7179675,329,"not active"
"Z3633184655",-6.7152753,331,"not active"
"Z2434601191",-6.7135119,335,"not active"
"Z1323464000",-6.7128983,338,"not active"
"Z6406231454",-6.710248,345,"not active"
"Z3531641896",-6.7070017,356,"not active"
"Z3626589405",-6.6927285,390,"not active"
"Z4595962645",-6.6854005,411,"not active"
"Z5106124641",-6.6838255,417,"not active"
"Z3159227329",-6.682857,421,"not active"
"Z7789349716",-6.6814799,425,"not active"
"Z3087217936",-6.678638,432,"not active"
"Z1752651400",-6.6692996,450,"not active"
"Z3700435327",-6.6665583,455,"not active"
"Z2908850656",-6.665103,461,"not active"
"Z6200875759",-6.6641726,465,"not active"
"Z3725930322",-6.6640563,466,"not active"
"Z2845537321",-6.662993,470,"not active"
"Z1274489724",-6.6597705,479,"not active"
"Z2220287132",-6.6580248,487,"not active"
"Z4639067461",-6.6528783,498,"not active"
"Z4882715683",-6.6455894,515,"not active"
"Z1152711822",-6.6434984,519,"not active"
"Z1167059453",-6.6361532,537,"not active"
"Z2646226753",-6.6357036,539,"not active"
"Z3358764544",-6.6306252,559,"not active"
"Z5548126178",-6.6272821,564,"not active"
"Z1838155530",-6.6259494,567,"not active"
"Z1833021173",-6.6208363,583,"not active"
"Z2370163326",-6.6195707,588,"not active"
"Z1592883728",-6.6163054,599,"not active"
"Z999048838",-6.6150737,606,"not active"
"Z1022199328",-6.6144819,609,"not active"
"Z5649305502",-6.604641,645,"not active"
"Z3625369506",-6.6017032,652,"not active"
"Z5054158242",-6.601079,655,"not active"
"Z7340191013",-6.600841,657,"not active"
"Z5413374616",-6.6006036,660,"not active"
"Z2620102118",-6.5971193,669,"not active"
"Z1421222249",-6.5958533,676,"not active"
"Z3666878856",-6.5934834,686,"not active"
"Z1505446907",-6.588954,711,"not active"
"Z5470696425",-6.5859628,723,"not active"
"Z4478651726",-6.5851274,725,"not active"
"Z1544664328",-6.5833459,733,"not active"
"Z2891172795",-6.5788012,752,"not active"
"Z5988402266",-6.5757937,763,"not active"
"Z5178461684",-6.5730414,773,"not active"
"Z1273929409",-6.5729833,774,"not active"
"Z1872314161",-6.5723534,777,"not active"
"Z4264383145",-6.5631537,813,"not active"
"Z1256167916",-6.560946,818,"not active"
"Z1215312846",-6.5601258,824,"not active"
"Z3407157651",-6.5524759,852,"not active"
"Z4252245789",-6.5499468,861,"not active"
"Z6183571714",-6.5492396,864,"not active"
"Z2289622173",-6.5471449,874,"not active"
"Z5326343983",-6.545548,882,"not active"
"Z3834093354",-6.5447192,885,"not active"
"Z2777150185",-6.5426311,894,"not active"
"Z3571411791",-6.5414519,901,"not active"
"Z3386086020",-6.5409784,902,"not active"
"Z1844279439",-6.540256,909,"not active"
"Z2201182137",-6.5368209,916,"not active"
"Z4320202829",-6.535512,926,"not active"
"Z2966723114",-6.534061,932,"not active"
"Z6421066922",-6.5296569,956,"not active"
"Z6436187977",-6.5277944,964,"not active"
"Z7616744353",-6.5202403,1008,"not active"
"Z3104051162",-6.5198216,1010,"not active"
"Z3179336930",-6.5191369,1014,"not active"
"Z3843599493",-6.5178823,1021,"not active"
"Z2702285123",-6.5166979,1026,"not active"
"Z7716527016",-6.5158687,1031,"not active"
"Z3512939149",-6.5148454,1039,"not active"
"Z1848628836",-6.5133038,1044,"not active"
"Z1828443099",-6.5095692,1061,"not active"
"Z851299822",-6.5090709,1066,"not active"
"Z2964832352",-6.5090113,1067,"not active"
"Z1548618315",-6.5060186,1085,"not active"
"Z5263845157",-6.5055256,1089,"not active"
"Z1683303226",-6.5054054,1090,"not active"
"Z3391103988",-6.5014338,1108,"not active"
"Z6289732456",-6.4988112,1120,"not active"
"Z5258293963",-6.4973755,1131,"not active"
"Z1037965944",-6.4966192,1135,"not active"
"Z2779108133",-6.4894037,1164,"not active"
"Z4350225348",-6.4880414,1170,"not active"
"Z2014900663",-6.4867449,1174,"not active"
"Z6165046603",-6.4862299,1178,"not active"
"Z2868748446",-6.4854393,1181,"not active"
"Z2297893657",-6.4840755,1193,"not active"
"Z3611209060",-6.4839606,1194,"not active"
"Z7497879973",-6.4819126,1202,"not active"
"Z2302672654",-6.4813299,1207,"not active"
"Z1303539527",-6.4805856,1213,"not active"
"Z5518009405",-6.4804888,1214,"not active"
"Z4061569714",-6.4794769,1222,"not active"
"Z2072297655",-6.4771233,1235,"not active"
"Z5221314534",-6.4728804,1258,"not active"
"Z1635530947",-6.47225,1268,"not active"
"Z3686797360",-6.4721575,1270,"not active"
"Z3343786567",-6.4719591,1272,"not active"
"Z1441811068",-6.4719081,1275,"not active"
"Z4579622749",-6.4717894,1277,"not active"
"Z6097569711",-6.4667215,1302,"not active"
"Z1896347978",-6.4653339,1314,"not active"
"Z1155020252",-6.4645276,1319,"not active"
"Z2306111007",-6.4643569,1322,"not active"
"Z1330983515",-6.4615993,1343,"not active"
"Z5586831527",-6.4604669,1350,"not active"
"Z4230441117",-6.4599633,1352,"not active"
"Z337141124",-6.4598875,1353,"not active"
"Z3725509482",-6.4585156,1361,"not active"
"Z3723587102",-6.4585061,1362,"not active"
"Z5018916965",-6.4577332,1369,"not active"
"Z3367757096",-6.457139,1373,"not active"
"Z2254381177",-6.4567771,1376,"not active"
"Z3654486815",-6.454463,1389,"not active"
"Z1749027388",-6.4526138,1404,"not active"
"Z1316031605",-6.4518495,1411,"not active"
"Z3093260454",-6.4502501,1425,"not active"
"Z4305766934",-6.449585,1430,"not active"
"Z5258285247",-6.4481421,1441,"not active"
"Z846701472",-6.4471912,1449,"not active"
"Z4208742351",-6.446413,1457,"not active"
"Z5258294603",-6.4437356,1478,"not active"
"Z3582967743",-6.443223,1482,"not active"
"Z6178520136",-6.442102,1489,"not active"
"Z4035207331",-6.4417481,1495,"not active"
"Z3382878132",-6.4415398,1496,"not active"
"Z3537731753",-6.4411578,1500,"not active"
"Z4280448624",-6.4410248,1502,"not active"
"Z1212645628",-6.4376717,1526,"not active"
"Z1511555714",-6.4351091,1543,"not active"
"Z2207741816",-6.4349084,1546,"not active"
"Z5135436028",-6.4338326,1555,"not active"
"Z7720820741",-6.4331093,1566,"not active"
"Z1780756364",-6.432704,1571,"not active"
"Z1415488329",-6.4326701,1572,"not active"
"Z2604204050",-6.4273558,1602,"not active"
"Z5452350985",-6.4270215,1603,"not active"
"Z1902479447",-6.4260874,1617,"not active"
"Z3504014457",-6.425499,1622,"not active"
"Z5347076706",-6.4246168,1630,"not active"
"Z5004643820",-6.422874,1644,"not active"
"Z6082086543",-6.422452,1647,"not active"
"Z4267341631",-6.4217596,1652,"not active"
"Z818608590",-6.4213343,1654,"not active"
"Z2821625039",-6.4210463,1656,"not active"
"Z2305288061",-6.4180603,1667,"not active"
"Z7469602272",-6.4177451,1670,"not active"
"Z2089354747",-6.4174318,1673,"not active"
"Z1551122365",-6.4164572,1683,"not active"
"Z3345574577",-6.4157743,1689,"not active"
"Z2956953688",-6.4131489,1711,"not active"
"Z6573353204",-6.4122462,1714,"not active"
"Z3569989206",-6.4116306,1718,"not active"
"Z6912284909",-6.4099665,1727,"not active"
"Z3472196877",-6.4093347,1736,"not active"
"Z1070781566",-6.4074826,1754,"not active"
"Z6177991496",-6.4051065,1769,"not active"
"Z1818022910",-6.4049983,1771,"not active"
"Z1129783506",-6.4047842,1774,"not active"
"Z3415592629",-6.4029236,1786,"not active"
"Z1344616795",-6.4005175,1807,"not active"
"Z1716948544",-6.3999858,1811,"not active"
"Z2904840803",-6.3995533,1818,"not active"
"Z281223806",-6.3992271,1820,"not active"
"Z5118530853",-6.39816,1830,"not active"
"Z5630705107",-6.3975296,1840,"not active"
"Z3101265052",-6.3973866,1843,"not active"
"Z352739686",-6.396769,1847,"not active"
"Z1393031212",-6.3950734,1858,"not active"
"Z7579725695",-6.394649,1863,"not active"
"Z1249308492",-6.3943968,1865,"not active"
"Z1973800727",-6.3924661,1886,"not active"
"Z1255538578",-6.3907433,1902,"not active"
"Z7783320906",-6.390296,1905,"not active"
"Z7753032751",-6.3894763,1916,"not active"
"Z4056178143",-6.3887405,1925,"not active"
"Z4345117731",-6.3882442,1930,"not active"
"Z5294993598",-6.3874388,1938,"not active"
"Z4012699514",-6.3864403,1941,"not active"
"Z5197050440",-6.384922,1954,"not active"
"Z2701797111",-6.383389,1962,"not active"
"Z758144322",-6.3830605,1968,"not active"
"Z5339361382",-6.3811445,1984,"not active"
"Z2222423456",-6.3807216,1991,"not active"
"Z5294210651",-6.3790507,2002,"not active"
"Z3694863039",-6.379045,2003,"not active"
"Z3552144963",-6.3790178,2004,"not active"
"Z1518579369",-6.3782086,2010,"not active"
"Z1510530695",-6.3767052,2025,"not active"
"Z3204495042",-6.3744226,2045,"not active"
